id,finding_text,vulnerability_type,cwe,source_type,file_extension,user_input,dangerous_api,recommended_fix
20,"Unsafe SQL string constructed from user data","SQL Injection","CWE-89","semgrep",".java",1,1,"Use parameterized queries or prepared statements"
21,"Unsanitized HTML output contains user input","XSS","CWE-79","semgrep",".js",1,0,"Apply context-aware output encoding and input sanitization"
22,"User controlled data rendered directly in HTML","XSS","CWE-79","semgrep",".html",1,0,"Apply context-aware output encoding and input sanitization"
23,"Unescaped request parameter written to webpage","XSS","CWE-79","semgrep",".php",1,0,"Apply context-aware output encoding and input sanitization"
24,"User input inserted into HTML without encoding","XSS","CWE-79","semgrep",".js",1,0,"Apply context-aware output encoding and input sanitization"
25,"Unsanitized query parameter displayed in response","XSS","CWE-79","semgrep",".py",1,0,"Apply context-aware output encoding and input sanitization"
26,"Dynamic HTML contains untrusted input","XSS","CWE-79","semgrep",".js",1,0,"Apply context-aware output encoding and input sanitization"
27,"Request value inserted into page without escaping","XSS","CWE-79","semgrep",".php",1,0,"Apply context-aware output encoding and input sanitization"
28,"Untrusted content assigned to HTML output","XSS","CWE-79","semgrep",".js",1,0,"Apply context-aware output encoding and input sanitization"
29,"User supplied value rendered without sanitization","XSS","CWE-79","semgrep",".html",1,0,"Apply context-aware output encoding and input sanitization"
30,"Unsafe DOM update uses user-controlled content","XSS","CWE-79","semgrep",".js",1,0,"Apply context-aware output encoding and input sanitization"
31,"User input passed to shell command","Command Injection","CWE-78","semgrep",".py",1,1,"Avoid shell execution and use safe process APIs with strict input validation"
32,"Untrusted parameter passed to system command","Command Injection","CWE-78","semgrep",".py",1,1,"Avoid shell execution and use safe process APIs with strict input validation"
33,"Request data used in shell execution","Command Injection","CWE-78","semgrep",".js",1,1,"Avoid shell execution and use safe process APIs with strict input validation"
34,"User controlled string passed to command execution","Command Injection","CWE-78","semgrep",".java",1,1,"Avoid shell execution and use safe process APIs with strict input validation"
35,"Unsanitized input used with subprocess command","Command Injection","CWE-78","semgrep",".py",1,1,"Avoid shell execution and use safe process APIs with strict input validation"
36,"Request parameter reaches operating system command","Command Injection","CWE-78","semgrep",".php",1,1,"Avoid shell execution and use safe process APIs with strict input validation"
37,"Dynamic shell command constructed using user data","Command Injection","CWE-78","semgrep",".py",1,1,"Avoid shell execution and use safe process APIs with strict input validation"
38,"Untrusted input passed to exec function","Command Injection","CWE-78","semgrep",".js",1,1,"Avoid shell execution and use safe process APIs with strict input validation"
39,"User input used in command string","Command Injection","CWE-78","semgrep",".py",1,1,"Avoid shell execution and use safe process APIs with strict input validation"
40,"External parameter used in shell command","Command Injection","CWE-78","semgrep",".java",1,1,"Avoid shell execution and use safe process APIs with strict input validation"
41,"User controlled path used to open file","Path Traversal","CWE-22","semgrep",".py",1,0,"Validate and restrict file paths to an allowed directory"
42,"Request parameter used directly as file path","Path Traversal","CWE-22","semgrep",".php",1,0,"Validate and restrict file paths to an allowed directory"
43,"Untrusted filename passed to file operation","Path Traversal","CWE-22","semgrep",".py",1,0,"Validate and restrict file paths to an allowed directory"
44,"User input controls filesystem location","Path Traversal","CWE-22","semgrep",".java",1,0,"Validate and restrict file paths to an allowed directory"
45,"External path used without validation","Path Traversal","CWE-22","semgrep",".js",1,0,"Validate and restrict file paths to an allowed directory"
46,"User supplied path reaches file read operation","Path Traversal","CWE-22","semgrep",".py",1,0,"Validate and restrict file paths to an allowed directory"
47,"Untrusted file path used for local file access","Path Traversal","CWE-22","semgrep",".php",1,0,"Validate and restrict file paths to an allowed directory"
48,"Request filename used in filesystem operation","Path Traversal","CWE-22","semgrep",".py",1,0,"Validate and restrict file paths to an allowed directory"
49,"Dynamic file path created from request input","Path Traversal","CWE-22","semgrep",".java",1,0,"Validate and restrict file paths to an allowed directory"
50,"User controlled directory traversal possible","Path Traversal","CWE-22","semgrep",".js",1,0,"Validate and restrict file paths to an allowed directory"
51,"API key hardcoded in source code","Hardcoded Secret","CWE-798","secret",".py",0,0,"Move secrets to environment variables or a secure secret manager"
52,"Password stored directly in source file","Hardcoded Secret","CWE-798","secret",".py",0,0,"Move secrets to environment variables or a secure secret manager"
53,"AWS access key embedded in application code","Hardcoded Secret","CWE-798","secret",".js",0,0,"Move secrets to environment variables or a secure secret manager"
54,"Authentication token hardcoded in configuration","Hardcoded Secret","CWE-798","secret",".json",0,0,"Move secrets to environment variables or a secure secret manager"
55,"Private API token committed in source","Hardcoded Secret","CWE-798","secret",".java",0,0,"Move secrets to environment variables or a secure secret manager"
56,"Database password visible in source code","Hardcoded Secret","CWE-798","secret",".py",0,0,"Move secrets to environment variables or a secure secret manager"
57,"Secret key stored as a source constant","Hardcoded Secret","CWE-798","secret",".js",0,0,"Move secrets to environment variables or a secure secret manager"
58,"Credential embedded directly in application","Hardcoded Secret","CWE-798","secret",".php",0,0,"Move secrets to environment variables or a secure secret manager"
59,"Cloud service token hardcoded in code","Hardcoded Secret","CWE-798","secret",".py",0,0,"Move secrets to environment variables or a secure secret manager"
60,"Sensitive credential stored in repository","Hardcoded Secret","CWE-798","secret",".json",0,0,"Move secrets to environment variables or a secure secret manager"
61,"Weak hashing algorithm used for password storage","Insecure Cryptography","CWE-327","semgrep",".py",0,1,"Use modern cryptographic algorithms and secure password hashing"
62,"MD5 used for security-sensitive hashing","Insecure Cryptography","CWE-327","semgrep",".py",0,1,"Use modern cryptographic algorithms and secure password hashing"
63,"SHA1 used for password hashing","Insecure Cryptography","CWE-327","semgrep",".java",0,1,"Use modern cryptographic algorithms and secure password hashing"
64,"Weak cryptographic algorithm used in application","Insecure Cryptography","CWE-327","semgrep",".py",0,1,"Use modern cryptographic algorithms and secure password hashing"
65,"Deprecated cipher used for sensitive data","Insecure Cryptography","CWE-327","semgrep",".js",0,1,"Use modern cryptographic algorithms and secure password hashing"
66,"Insecure encryption algorithm configured","Insecure Cryptography","CWE-327","semgrep",".java",0,1,"Use modern cryptographic algorithms and secure password hashing"
67,"Weak digest function used for credentials","Insecure Cryptography","CWE-327","semgrep",".py",0,1,"Use modern cryptographic algorithms and secure password hashing"
68,"Deprecated hashing method used in authentication","Insecure Cryptography","CWE-327","semgrep",".php",0,1,"Use modern cryptographic algorithms and secure password hashing"
69,"Insecure cipher selected for confidential data","Insecure Cryptography","CWE-327","semgrep",".py",0,1,"Use modern cryptographic algorithms and secure password hashing"
70,"Weak cryptographic primitive used in security code","Insecure Cryptography","CWE-327","semgrep",".js",0,1,"Use modern cryptographic algorithms and secure password hashing"
71,"Authentication check missing before protected operation","Authentication","CWE-287","semgrep",".py",1,0,"Strengthen authentication and authorization checks before protected operations"
72,"Protected endpoint lacks authentication validation","Authentication","CWE-287","semgrep",".js",1,0,"Strengthen authentication and authorization checks before protected operations"
73,"User identity not verified before sensitive action","Authentication","CWE-287","semgrep",".java",1,0,"Strengthen authentication and authorization checks before protected operations"
74,"Missing authentication check on request handler","Authentication","CWE-287","semgrep",".py",1,0,"Strengthen authentication and authorization checks before protected operations"
75,"Sensitive resource accessible without authentication","Authentication","CWE-287","semgrep",".php",1,0,"Strengthen authentication and authorization checks before protected operations"
76,"Authorization flow lacks identity validation","Authentication","CWE-287","semgrep",".py",1,0,"Strengthen authentication and authorization checks before protected operations"
77,"Protected function callable without login check","Authentication","CWE-287","semgrep",".js",1,0,"Strengthen authentication and authorization checks before protected operations"
78,"Request handler does not verify authenticated user","Authentication","CWE-287","semgrep",".java",1,0,"Strengthen authentication and authorization checks before protected operations"
79,"Missing access control validation for sensitive endpoint","Authentication","CWE-287","semgrep",".py",1,0,"Strengthen authentication and authorization checks before protected operations"
80,"Sensitive operation performed without authentication","Authentication","CWE-287","semgrep",".php",1,0,"Strengthen authentication and authorization checks before protected operations"
81,"Generic security issue requiring manual code review","Other","Other","semgrep",".py",0,0,"Review the affected code and apply the appropriate security control"
82,"Potential unsafe implementation detected","Other","Other","semgrep",".js",0,0,"Review the affected code and apply the appropriate security control"
83,"Security-sensitive code requires review","Other","Other","semgrep",".java",0,0,"Review the affected code and apply the appropriate security control"
84,"Potential vulnerability found in source","Other","Other","semgrep",".py",0,0,"Review the affected code and apply the appropriate security control"
85,"Unclear security weakness detected","Other","Other","semgrep",".php",0,0,"Review the affected code and apply the appropriate security control"
86,"Security rule matched suspicious code","Other","Other","semgrep",".js",0,0,"Review the affected code and apply the appropriate security control"
87,"Potential insecure coding pattern detected","Other","Other","semgrep",".py",0,0,"Review the affected code and apply the appropriate security control"
88,"Application security finding requires analysis","Other","Other","semgrep",".java",0,0,"Review the affected code and apply the appropriate security control"
89,"Security issue detected without specific category","Other","Other","semgrep",".py",0,0,"Review the affected code and apply the appropriate security control"
90,"Suspicious implementation identified by scanner","Other","Other","semgrep",".js",0,0,"Review the affected code and apply the appropriate security control"
91,"User input concatenated with SQL command in production endpoint","SQL Injection","CWE-89","semgrep",".py",1,1,"Use parameterized queries or prepared statements"
92,"Unescaped user content rendered in production web page","XSS","CWE-79","semgrep",".js",1,0,"Apply context-aware output encoding and input sanitization"
93,"User input passed to operating system command","Command Injection","CWE-78","semgrep",".py",1,1,"Avoid shell execution and use safe process APIs with strict input validation"
94,"External filename used in file read operation","Path Traversal","CWE-22","semgrep",".py",1,0,"Validate and restrict file paths to an allowed directory"
95,"Cloud credential hardcoded in production source","Hardcoded Secret","CWE-798","secret",".py",0,0,"Move secrets to environment variables or a secure secret manager"
96,"MD5 used to hash authentication credentials","Insecure Cryptography","CWE-327","semgrep",".py",0,1,"Use modern cryptographic algorithms and secure password hashing"
97,"Protected API endpoint missing authentication","Authentication","CWE-287","semgrep",".py",1,0,"Strengthen authentication and authorization checks before protected operations"
98,"Suspicious security-sensitive implementation","Other","Other","semgrep",".py",0,0,"Review the affected code and apply the appropriate security control"
99,"Request parameter inserted into raw SQL query","SQL Injection","CWE-89","semgrep",".js",1,1,"Use parameterized queries or prepared statements"
100,"User controlled HTML inserted without escaping","XSS","CWE-79","semgrep",".js",1,0,"Apply context-aware output encoding and input sanitization"
